Flight Number;Orig;Dest;A/C;Weekday_Z;STD-HH:MM;STA-HH:MM;DD_Z;Net Payload;Net Volume;key
W8991;QRO;GDL;76Y;Sun;12:13;13:18;;47650;442;QRO/GDL/2024-09-15 12:13:00
ES557;RUH;LHE;76V;Mon;04:00;08:10;;47650;442;RUH/LHE/2024-09-09 04:00:00
ES113;RUH;BAH;76V;Tue;04:15;05:35;;47650;442;RUH/BAH/2024-09-10 04:15:00
ES113;RUH;BAH;76V;Wed;04:15;05:35;;47650;442;RUH/BAH/2024-09-11 04:15:00
I98878;RUH;SZX;77X;Wed;04:15;12:10;;77350;645;RUH/SZX/2024-09-11 04:15:00
ES113;RUH;BAH;76V;Thu;04:15;05:35;;47650;442;RUH/BAH/2024-09-12 04:15:00
I98860;RUH;SZX;77X;Thu;04:15;12:10;;77350;645;RUH/SZX/2024-09-12 04:15:00
ES113;RUH;BAH;76V;Fri;04:15;05:35;;47650;442;RUH/BAH/2024-09-13 04:15:00
I98878;RUH;SZX;77X;Fri;04:15;12:10;;77350;645;RUH/SZX/2024-09-13 04:15:00
ES113;RUH;BAH;76V;Sat;04:15;05:35;;47650;442;RUH/BAH/2024-09-14 04:15:00
I98850;RUH;SZX;77X;Sat;06:10;14:05;;77350;645;RUH/SZX/2024-09-14 06:10:00
I98876;RUH;SZX;77X;Sat;22:25;06:20;1.0;77350;645;RUH/SZX/2024-09-14 22:25:00
ES557;RUH;LHE;76V;Sun;04:15;08:25;;47650;442;RUH/LHE/2024-09-15 04:15:00
I98850;RUH;SZX;77X;Sun;20:00;03:55;1.0;77350;645;RUH/SZX/2024-09-15 20:00:00
W85236;SAP;MIA;76Y;Tue;22:40;01:00;1.0;47650;442;SAP/MIA/2024-09-10 22:40:00
W85236;SAP;MIA;76Y;Wed;22:40;01:00;1.0;47650;442;SAP/MIA/2024-09-11 22:40:00
W85236;SAP;MIA;76Y;Thu;22:40;01:00;1.0;47650;442;SAP/MIA/2024-09-12 22:40:00
W85236;SAP;MIA;76Y;Fri;22:40;01:00;1.0;47650;442;SAP/MIA/2024-09-13 22:40:00
W85236;SAP;MIA;76Y;Sat;22:40;01:00;1.0;47650;442;SAP/MIA/2024-09-14 22:40:00
3S475;SEA;FRA;77X;Thu;04:15;14:35;;77350;645;SEA/FRA/2024-09-12 04:15:00
3S472;SEA;LAX;77X;Sat;04:35;07:10;;77350;645;SEA/LAX/2024-09-14 04:35:00
GB1820;SFO;LAX;76Y;Tue;05:30;07:00;;47650;442;SFO/LAX/2024-09-10 05:30:00
GB1820;SFO;LAX;76Y;Wed;05:30;07:00;;47650;442;SFO/LAX/2024-09-11 05:30:00
GB1820;SFO;LAX;76Y;Thu;05:30;07:00;;47650;442;SFO/LAX/2024-09-12 05:30:00
GB1820;SFO;LAX;76Y;Fri;05:30;07:00;;47650;442;SFO/LAX/2024-09-13 05:30:00
GB1820;SFO;LAX;76Y;Sat;05:30;07:00;;47650;442;SFO/LAX/2024-09-14 05:30:00
GB1820;SFO;LAX;76Y;Sun;16:00;17:30;;47650;442;SFO/LAX/2024-09-15 16:00:00
3S621;SGN;HAN;77X;Tue;11:15;13:15;;77350;645;SGN/HAN/2024-09-10 11:15:00
3S621;SGN;HAN;77X;Fri;10:25;12:25;;77350;645;SGN/HAN/2024-09-13 10:25:00
3S619;SGN;KIX;77X;Sun;10:35;15:35;;77350;645;SGN/KIX/2024-09-15 10:35:00
ES780;SIN;BAH;76V;Mon;22:40;07:50;1.0;47650;442;SIN/BAH/2024-09-09 22:40:00
3S531;SIN;BKK;77X;Mon;19:10;21:40;;77350;645;SIN/BKK/2024-09-09 19:10:00
SQ7408;SIN;NGO;77X;Mon;14:00;20:20;;77350;645;SIN/NGO/2024-09-09 14:00:00
SQ7430;SIN;BKK;77X;Mon;03:50;06:30;;77350;645;SIN/BKK/2024-09-09 03:50:00
ES782;SIN;BAH;76V;Tue;22:40;07:50;1.0;47650;442;SIN/BAH/2024-09-10 22:40:00
3S531;SIN;BKK;77X;Tue;19:10;21:40;;77350;645;SIN/BKK/2024-09-10 19:10:00
SQ7402;SIN;NGO;77X;Tue;14:00;20:20;;77350;645;SIN/NGO/2024-09-10 14:00:00
SQ7440;SIN;BKK;77X;Tue;02:00;04:40;;77350;645;SIN/BKK/2024-09-10 02:00:00
ES780;SIN;BAH;76V;Wed;22:40;07:50;1.0;47650;442;SIN/BAH/2024-09-11 22:40:00
3S531;SIN;BKK;77X;Wed;19:10;21:40;;77350;645;SIN/BKK/2024-09-11 19:10:00
SQ7414;SIN;NGO;77X;Wed;14:00;20:20;;77350;645;SIN/NGO/2024-09-11 14:00:00
SQ7442;SIN;BKK;77X;Wed;02:35;05:15;;77350;645;SIN/BKK/2024-09-11 02:35:00
ES782;SIN;BAH;76V;Thu;22:40;07:50;1.0;47650;442;SIN/BAH/2024-09-12 22:40:00
3S531;SIN;BKK;77X;Thu;19:10;21:40;;77350;645;SIN/BKK/2024-09-12 19:10:00
SQ7404;SIN;NGO;77X;Thu;14:15;20:35;;77350;645;SIN/NGO/2024-09-12 14:15:00
SQ7436;SIN;BKK;77X;Thu;02:10;04:50;;77350;645;SIN/BKK/2024-09-12 02:10:00
3S531;SIN;BKK;77X;Fri;19:10;21:40;;77350;645;SIN/BKK/2024-09-13 19:10:00
SQ7412;SIN;NGO;77X;Fri;14:55;21:15;;77350;645;SIN/NGO/2024-09-13 14:55:00
SQ7444;SIN;BKK;77X;Fri;02:35;05:15;;77350;645;SIN/BKK/2024-09-13 02:35:00
3S531;SIN;BKK;77X;Sat;19:10;21:40;;77350;645;SIN/BKK/2024-09-14 19:10:00
SQ7434;SIN;TPE;77X;Sat;22:40;03:20;1.0;77350;645;SIN/TPE/2024-09-14 22:40:00
SQ7446;SIN;ICN;77X;Sat;06:20;12:45;;77350;645;SIN/ICN/2024-09-14 06:20:00
SQ7448;SIN;BKK;77X;Sat;14:30;17:10;;77350;645;SIN/BKK/2024-09-14 14:30:00
3S543;SIN;LEJ;77X;Sun;02:45;16:05;;77350;645;SIN/LEJ/2024-09-15 02:45:00
GB902;SJO;CVG;76Y;Tue;00:50;05:35;;47650;442;SJO/CVG/2024-09-10 00:50:00
W85240;SJO;SAP;76Y;Tue;19:45;21:25;;47650;442;SJO/SAP/2024-09-10 19:45:00
GB902;SJO;CVG;76Y;Wed;00:50;05:35;;47650;442;SJO/CVG/2024-09-11 00:50:00
GB902;SJO;CVG;76Y;Thu;00:50;05:35;;47650;442;SJO/CVG/2024-09-12 00:50:00
W85240;SJO;SAP;76Y;Thu;19:45;21:25;;47650;442;SJO/SAP/2024-09-12 19:45:00
GB902;SJO;CVG;76Y;Fri;00:50;05:35;;47650;442;SJO/CVG/2024-09-13 00:50:00
GB902;SJO;CVG;76Y;Sat;00:20;05:05;;47650;442;SJO/CVG/2024-09-14 00:20:00
GB5232;SJO;MIA;76Y;Sat;22:30;01:25;1.0;47650;442;SJO/MIA/2024-09-14 22:30:00
W85240;SJO;SAP;76Y;Sat;19:45;21:25;;47650;442;SJO/SAP/2024-09-14 19:45:00
GB445;SJU;CVG;76Y;Tue;01:30;06:10;;47650;442;SJU/CVG/2024-09-10 01:30:00
GB445;SJU;CVG;76Y;Wed;01:30;06:10;;47650;442;SJU/CVG/2024-09-11 01:30:00
GB445;SJU;CVG;76Y;Thu;01:30;06:10;;47650;442;SJU/CVG/2024-09-12 01:30:00
GB445;SJU;CVG;76Y;Fri;01:30;06:10;;47650;442;SJU/CVG/2024-09-13 01:30:00
GB445;SJU;CVG;76Y;Sat;01:30;06:10;;47650;442;SJU/CVG/2024-09-14 01:30:00
GB445;SJU;CVG;76Y;Sun;17:00;21:40;;47650;442;SJU/CVG/2024-09-15 17:00:00
GB1445;SJU;CVG;76Y;Sun;15:00;19:40;;47650;442;SJU/CVG/2024-09-15 15:00:00
QY1443;STN;AMS;ABY;Tue;07:35;08:35;;46000;386;STN/AMS/2024-09-10 07:35:00
QY742;STN;BAH;76Y;Wed;06:05;13:45;;47650;442;STN/BAH/2024-09-11 06:05:00
QY202;STN;BRU;ABY;Wed;07:45;08:55;;46000;386;STN/BRU/2024-09-11 07:45:00
QY1443;STN;AMS;ABY;Thu;07:35;08:35;;46000;386;STN/AMS/2024-09-12 07:35:00
QY742;STN;BAH;76Y;Fri;06:05;13:45;;47650;442;STN/BAH/2024-09-13 06:05:00
QY4213;STR;LEJ;ABY;Mon;21:10;22:15;;46000;386;STR/LEJ/2024-09-09 21:10:00
QY4213;STR;LEJ;ABY;Tue;21:10;22:15;;46000;386;STR/LEJ/2024-09-10 21:10:00
QY4213;STR;LEJ;ABY;Wed;21:10;22:15;;46000;386;STR/LEJ/2024-09-11 21:10:00
3S467;SVG;FRA;77X;Sat;18:05;20:05;;77350;645;SVG/FRA/2024-09-14 18:05:00
QY711;SVQ;VIT;ABY;Mon;08:25;09:40;;46000;386;SVQ/VIT/2024-09-09 08:25:00
QY8449;SVQ;VIT;ABY;Tue;19:25;20:40;;46000;386;SVQ/VIT/2024-09-10 19:25:00
QY8449;SVQ;VIT;ABY;Wed;19:25;20:40;;46000;386;SVQ/VIT/2024-09-11 19:25:00
QY8449;SVQ;VIT;ABY;Thu;19:25;20:40;;46000;386;SVQ/VIT/2024-09-12 19:25:00
QY8449;SVQ;VIT;ABY;Fri;19:25;20:40;;46000;386;SVQ/VIT/2024-09-13 19:25:00
SQ7447;SYD;SIN;77X;Mon;08:45;17:00;;77350;645;SYD/SIN/2024-09-09 08:45:00
K421;SYD;HKG;77X;Tue;07:30;16:50;;77350;645;SYD/HKG/2024-09-10 07:30:00
SQ7433;SYD;SIN;77X;Tue;11:15;19:30;;77350;645;SYD/SIN/2024-09-10 11:15:00
K421;SYD;HKG;77X;Wed;07:30;16:50;;77350;645;SYD/HKG/2024-09-11 07:30:00
SQ7429;SYD;SIN;77X;Wed;11:25;19:40;;77350;645;SYD/SIN/2024-09-11 11:25:00
K421;SYD;HKG;77X;Thu;07:30;16:50;;77350;645;SYD/HKG/2024-09-12 07:30:00
SQ7439;SYD;SIN;77X;Thu;11:25;19:45;;77350;645;SYD/SIN/2024-09-12 11:25:00
SQ7441;SYD;SIN;77X;Fri;11:25;19:40;;77350;645;SYD/SIN/2024-09-13 11:25:00
SQ7431;SYD;SIN;77X;Sat;11:25;19:40;;77350;645;SYD/SIN/2024-09-14 11:25:00
SQ7443;SYD;MEL;77X;Sun;11:25;13:05;;77350;645;SYD/MEL/2024-09-15 11:25:00
PO752;SZX;NRT;74N;Mon;18:30;22:50;;102300;853;SZX/NRT/2024-09-09 18:30:00
D041;SZX;BAH;76V;Mon;20:30;06:20;1.0;47650;442;SZX/BAH/2024-09-09 20:30:00
3S587;SZX;ANC;77X;Mon;21:55;07:35;1.0;77350;645;SZX/ANC/2024-09-09 21:55:00
I98867;SZX;LEJ;77X;Mon;07:10;19:30;;77350;645;SZX/LEJ/2024-09-09 07:10:00
PO752;SZX;NRT;74N;Tue;18:30;22:50;;102300;853;SZX/NRT/2024-09-10 18:30:00
D043;SZX;BAH;76V;Tue;20:30;06:20;1.0;47650;442;SZX/BAH/2024-09-10 20:30:00
3S587;SZX;ANC;77X;Tue;21:55;07:35;1.0;77350;645;SZX/ANC/2024-09-10 21:55:00
I98877;SZX;BRU;77X;Tue;05:15;17:50;;77350;645;SZX/BRU/2024-09-10 05:15:00
PO752;SZX;NRT;74N;Wed;18:30;22:50;;102300;853;SZX/NRT/2024-09-11 18:30:00
D041;SZX;BAH;76V;Wed;20:30;06:20;1.0;47650;442;SZX/BAH/2024-09-11 20:30:00
3S587;SZX;ANC;77X;Wed;21:55;07:35;1.0;77350;645;SZX/ANC/2024-09-11 21:55:00
I98859;SZX;BRU;77X;Wed;05:15;17:50;;77350;645;SZX/BRU/2024-09-11 05:15:00
PO752;SZX;NRT;74N;Thu;18:30;22:50;;102300;853;SZX/NRT/2024-09-12 18:30:00
D043;SZX;BAH;76V;Thu;20:30;06:20;1.0;47650;442;SZX/BAH/2024-09-12 20:30:00
3S587;SZX;ANC;77X;Thu;21:55;07:35;1.0;77350;645;SZX/ANC/2024-09-12 21:55:00
I98877;SZX;BRU;77X;Thu;05:15;17:50;;77350;645;SZX/BRU/2024-09-12 05:15:00
PO964;SZX;NRT;74N;Fri;20:30;00:50;1.0;102300;853;SZX/NRT/2024-09-13 20:30:00
D041;SZX;BAH;76V;Fri;20:30;06:20;1.0;47650;442;SZX/BAH/2024-09-13 20:30:00
I98849;SZX;LEJ;77X;Fri;07:10;19:30;;77350;645;SZX/LEJ/2024-09-13 07:10:00
I98875;SZX;LEJ;77X;Fri;21:30;09:50;1.0;77350;645;SZX/LEJ/2024-09-13 21:30:00
PO935;SZX;NRT;74N;Sat;20:30;00:50;1.0;102300;853;SZX/NRT/2024-09-14 20:30:00
D043;SZX;BAH;76V;Sat;20:30;06:20;1.0;47650;442;SZX/BAH/2024-09-14 20:30:00
ES608;SZX;BAH;76V;Sat;20:30;06:25;1.0;47650;442;SZX/BAH/2024-09-14 20:30:00
3S587;SZX;ANC;77X;Sat;21:55;07:35;1.0;77350;645;SZX/ANC/2024-09-14 21:55:00
I98849;SZX;LEJ;77X;Sat;21:30;09:50;1.0;77350;645;SZX/LEJ/2024-09-14 21:30:00
3S589;SZX;ANC;77X;Sun;20:30;06:10;1.0;77350;645;SZX/ANC/2024-09-15 20:30:00
3S504;TAS;ICN;77X;Mon;04:55;10:55;;77350;645;TAS/ICN/2024-09-09 04:55:00
3S630;TAS;HKG;77X;Sat;03:00;09:35;;77350;645;TAS/HKG/2024-09-14 03:00:00
QY961;TLV;LEJ;ABY;Mon;11:15;15:40;;46000;386;TLV/LEJ/2024-09-09 11:15:00
QY997;TLV;LEJ;ABY;Tue;11:25;15:50;;46000;386;TLV/LEJ/2024-09-10 11:25:00
QY997;TLV;LEJ;ABY;Wed;11:25;15:50;;46000;386;TLV/LEJ/2024-09-11 11:25:00
QY997;TLV;LEJ;ABY;Thu;11:25;15:50;;46000;386;TLV/LEJ/2024-09-12 11:25:00
QY963;TLV;LEJ;ABY;Fri;12:50;17:15;;46000;386;TLV/LEJ/2024-09-13 12:50:00
QY965;TLV;LEJ;ABY;Sat;14:20;18:45;;46000;386;TLV/LEJ/2024-09-14 14:20:00
QY961;TLV;LEJ;ABY;Sat;12:50;17:15;;46000;386;TLV/LEJ/2024-09-14 12:50:00
SQ7434;TPE;NGO;77X;Sun;05:40;08:15;;77350;645;TPE/NGO/2024-09-15 05:40:00
W81510;UIO;MIA;76Y;Mon;14:20;18:20;;47650;442;UIO/MIA/2024-09-09 14:20:00
W81510;UIO;MIA;76Y;Tue;16:20;20:20;;47650;442;UIO/MIA/2024-09-10 16:20:00
W81510;UIO;MIA;76Y;Wed;16:20;20:20;;47650;442;UIO/MIA/2024-09-11 16:20:00
W81510;UIO;MIA;76Y;Thu;16:20;20:20;;47650;442;UIO/MIA/2024-09-12 16:20:00
W81510;UIO;MIA;76Y;Sat;12:50;16:50;;47650;442;UIO/MIA/2024-09-14 12:50:00
QY197;VIT;LEJ;ABY;Mon;22:00;00:20;1.0;46000;386;VIT/LEJ/2024-09-09 22:00:00
QY8212;VIT;OPO;ABY;Mon;05:20;06:30;;46000;386;VIT/OPO/2024-09-09 05:20:00
QY8448;VIT;SVQ;ABY;Mon;05:05;06:25;;46000;386;VIT/SVQ/2024-09-09 05:05:00
QY197;VIT;LEJ;ABY;Tue;22:00;00:20;1.0;46000;386;VIT/LEJ/2024-09-10 22:00:00
QY8448;VIT;SVQ;ABY;Tue;06:40;08:00;;46000;386;VIT/SVQ/2024-09-10 06:40:00
QY8212;VIT;OPO;ABY;Tue;06:15;07:25;;46000;386;VIT/OPO/2024-09-10 06:15:00
QY197;VIT;LEJ;ABY;Wed;22:00;00:20;1.0;46000;386;VIT/LEJ/2024-09-11 22:00:00
QY8448;VIT;SVQ;ABY;Wed;06:40;08:00;;46000;386;VIT/SVQ/2024-09-11 06:40:00
QY8212;VIT;OPO;ABY;Wed;06:15;07:25;;46000;386;VIT/OPO/2024-09-11 06:15:00
QY197;VIT;LEJ;ABY;Thu;22:00;00:20;1.0;46000;386;VIT/LEJ/2024-09-12 22:00:00
QY8448;VIT;SVQ;ABY;Thu;06:40;08:00;;46000;386;VIT/SVQ/2024-09-12 06:40:00
QY8212;VIT;OPO;ABY;Thu;06:15;07:25;;46000;386;VIT/OPO/2024-09-12 06:15:00
QY197;VIT;LEJ;ABY;Fri;22:45;01:05;1.0;46000;386;VIT/LEJ/2024-09-13 22:45:00
QY8448;VIT;SVQ;ABY;Fri;06:40;08:00;;46000;386;VIT/SVQ/2024-09-13 06:40:00
QY8212;VIT;OPO;ABY;Fri;06:15;07:25;;46000;386;VIT/OPO/2024-09-13 06:15:00
QY415;VIT;BRU;ABY;Sat;08:45;10:30;;46000;386;VIT/BRU/2024-09-14 08:45:00
QY5547;WAW;LEJ;ABY;Mon;20:50;22:10;;46000;386;WAW/LEJ/2024-09-09 20:50:00
QY5547;WAW;LEJ;ABY;Tue;20:50;22:10;;46000;386;WAW/LEJ/2024-09-10 20:50:00
QY5547;WAW;LEJ;ABY;Wed;20:50;22:10;;46000;386;WAW/LEJ/2024-09-11 20:50:00
QY5547;WAW;LEJ;ABY;Thu;20:50;22:10;;46000;386;WAW/LEJ/2024-09-12 20:50:00
QY5547;WAW;LEJ;ABY;Fri;20:50;22:10;;46000;386;WAW/LEJ/2024-09-13 20:50:00
D077;WUX;ALA;76V;Mon;21:00;03:40;1.0;47650;442;WUX/ALA/2024-09-09 21:00:00
D071;WUX;ALA;76V;Tue;21:00;03:40;1.0;47650;442;WUX/ALA/2024-09-10 21:00:00
D073;WUX;ALA;76V;Wed;21:00;03:40;1.0;47650;442;WUX/ALA/2024-09-11 21:00:00
D071;WUX;ALA;76V;Thu;21:00;03:40;1.0;47650;442;WUX/ALA/2024-09-12 21:00:00
D073;WUX;ALA;76V;Fri;21:00;03:40;1.0;47650;442;WUX/ALA/2024-09-13 21:00:00
D077;WUX;ALA;76V;Sat;21:00;03:40;1.0;47650;442;WUX/ALA/2024-09-14 21:00:00
D075;WUX;ALA;76V;Sun;21:00;03:40;1.0;47650;442;WUX/ALA/2024-09-15 21:00:00
K4695;YHM;ORD;74Y;Tue;18:35;20:15;;87050;725;YHM/ORD/2024-09-10 18:35:00
W8347;YHM;EMA;76Y;Tue;12:00;19:00;;47650;442;YHM/EMA/2024-09-10 12:00:00
W8952;YHM;CVG;76Y;Tue;04:55;06:30;;47650;442;YHM/CVG/2024-09-10 04:55:00
W8347;YHM;EMA;76Y;Wed;12:00;19:00;;47650;442;YHM/EMA/2024-09-11 12:00:00
W8952;YHM;CVG;76Y;Wed;04:55;06:30;;47650;442;YHM/CVG/2024-09-11 04:55:00
K4295;YHM;ORD;77X;Wed;18:35;20:15;;77350;645;YHM/ORD/2024-09-11 18:35:00
K4695;YHM;ORD;74Y;Thu;18:35;20:15;;87050;725;YHM/ORD/2024-09-12 18:35:00
W8347;YHM;EMA;76Y;Thu;12:00;19:00;;47650;442;YHM/EMA/2024-09-12 12:00:00
W8952;YHM;CVG;76Y;Thu;04:55;06:30;;47650;442;YHM/CVG/2024-09-12 04:55:00
W8952;YHM;CVG;76Y;Fri;04:55;06:30;;47650;442;YHM/CVG/2024-09-13 04:55:00
K4295;YHM;ORD;77X;Fri;18:35;20:15;;77350;645;YHM/ORD/2024-09-13 18:35:00
W8916;YHM;CVG;76Y;Sat;04:55;06:30;;47650;442;YHM/CVG/2024-09-14 04:55:00
W8347;YHM;EMA;76Y;Sat;01:00;08:00;;47650;442;YHM/EMA/2024-09-14 01:00:00
K4297;YHM;ORD;77X;Sat;18:35;20:15;;77350;645;YHM/ORD/2024-09-14 18:35:00
W8347;YHM;EMA;76Y;Sun;02:10;09:10;;47650;442;YHM/EMA/2024-09-15 02:10:00
W8952;YHM;CVG;76Y;Sun;22:00;23:35;;47650;442;YHM/CVG/2024-09-15 22:00:00
K4295;YHM;ORD;77X;Sun;16:20;18:00;;77350;645;YHM/ORD/2024-09-15 16:20:00
W8990;YMX;CVG;76Y;Tue;03:56;06:21;;47650;442;YMX/CVG/2024-09-10 03:56:00
W8990;YMX;CVG;76Y;Wed;03:56;06:21;;47650;442;YMX/CVG/2024-09-11 03:56:00
W8990;YMX;CVG;76Y;Thu;03:56;06:21;;47650;442;YMX/CVG/2024-09-12 03:56:00
W8990;YMX;CVG;76Y;Fri;03:56;06:21;;47650;442;YMX/CVG/2024-09-13 03:56:00
W8990;YMX;CVG;76Y;Sat;03:56;06:21;;47650;442;YMX/CVG/2024-09-14 03:56:00
W81925;YVR;CVG;76Y;Tue;03:10;07:35;;47650;442;YVR/CVG/2024-09-10 03:10:00
W81925;YVR;CVG;76Y;Wed;03:10;07:35;;47650;442;YVR/CVG/2024-09-11 03:10:00
W81925;YVR;CVG;76Y;Thu;03:10;07:35;;47650;442;YVR/CVG/2024-09-12 03:10:00
W81925;YVR;CVG;76Y;Fri;03:10;07:35;;47650;442;YVR/CVG/2024-09-13 03:10:00
W81925;YVR;CVG;76Y;Sat;03:10;07:35;;47650;442;YVR/CVG/2024-09-14 03:10:00
3S442;YYZ;ORD;77X;Mon;05:15;07:05;;77350;645;YYZ/ORD/2024-09-09 05:15:00
3S464;YYZ;DFW;77X;Wed;00:10;03:30;;77350;645;YYZ/DFW/2024-09-11 00:10:00
3S442;YYZ;ORD;77X;Thu;05:15;07:05;;77350;645;YYZ/ORD/2024-09-12 05:15:00
