Flight Number;Orig;Dest;A/C;Weekday_Z;STD-HH:MM;STA-HH:MM;DD_Z;Net Payload;Net Volume;key
QY216;MUC;LEJ;ABY;Fri;05:40;06:50;;46000;386;MUC/LEJ/2024-09-13 05:40:00
QY4107;MUC;LEJ;ABY;Fri;21:20;22:30;;46000;386;MUC/LEJ/2024-09-13 21:20:00
QY752;MXP;LEJ;33X;Mon;22:05;23:45;;51200;427;MXP/LEJ/2024-09-09 22:05:00
K4208;MXP;HKG;77X;Mon;00:05;12:20;;77350;645;MXP/HKG/2024-09-09 00:05:00
QY411;MXP;BRU;ABY;Mon;22:55;00:20;1.0;46000;386;MXP/BRU/2024-09-09 22:55:00
QY7022;MXP;NAP;ABY;Mon;03:40;05:05;;46000;386;MXP/NAP/2024-09-09 03:40:00
QY5707;MXP;LEJ;ABY;Mon;22:50;00:30;1.0;46000;386;MXP/LEJ/2024-09-09 22:50:00
QY752;MXP;LEJ;33X;Tue;22:05;23:45;;51200;427;MXP/LEJ/2024-09-10 22:05:00
QY755;MXP;BAH;33X;Tue;05:30;11:15;;51200;427;MXP/BAH/2024-09-10 05:30:00
QY372;MXP;CVG;33Y;Tue;05:55;16:05;;49650;509;MXP/CVG/2024-09-10 05:55:00
D0524;MXP;HKG;77X;Tue;03:15;14:35;;77350;645;MXP/HKG/2024-09-10 03:15:00
QY135;MXP;LEJ;ABY;Tue;12:25;14:05;;46000;386;MXP/LEJ/2024-09-10 12:25:00
QY411;MXP;BRU;ABY;Tue;22:55;00:20;1.0;46000;386;MXP/BRU/2024-09-10 22:55:00
QY6757;MXP;LHR;ABY;Tue;18:55;21:00;;46000;386;MXP/LHR/2024-09-10 18:55:00
QY7022;MXP;NAP;ABY;Tue;06:35;08:00;;46000;386;MXP/NAP/2024-09-10 06:35:00
QY139;MXP;LEJ;ABY;Tue;22:50;00:30;1.0;46000;386;MXP/LEJ/2024-09-10 22:50:00
QY752;MXP;LEJ;33X;Wed;22:05;23:45;;51200;427;MXP/LEJ/2024-09-11 22:05:00
QY755;MXP;BAH;33X;Wed;05:30;11:15;;51200;427;MXP/BAH/2024-09-11 05:30:00
QY372;MXP;CVG;33Y;Wed;06:00;16:05;;49650;509;MXP/CVG/2024-09-11 06:00:00
D0526;MXP;HKG;77X;Wed;03:10;14:30;;77350;645;MXP/HKG/2024-09-11 03:10:00
QY135;MXP;LEJ;ABY;Wed;12:25;14:05;;46000;386;MXP/LEJ/2024-09-11 12:25:00
QY411;MXP;BRU;ABY;Wed;22:55;00:20;1.0;46000;386;MXP/BRU/2024-09-11 22:55:00
QY6757;MXP;LHR;ABY;Wed;18:55;21:00;;46000;386;MXP/LHR/2024-09-11 18:55:00
QY7022;MXP;NAP;ABY;Wed;06:35;08:00;;46000;386;MXP/NAP/2024-09-11 06:35:00
QY139;MXP;LEJ;ABY;Wed;22:50;00:30;1.0;46000;386;MXP/LEJ/2024-09-11 22:50:00
QY752;MXP;LEJ;33X;Thu;22:05;23:45;;51200;427;MXP/LEJ/2024-09-12 22:05:00
QY755;MXP;BAH;33X;Thu;05:30;11:15;;51200;427;MXP/BAH/2024-09-12 05:30:00
QY372;MXP;CVG;33Y;Thu;06:00;16:05;;49650;509;MXP/CVG/2024-09-12 06:00:00
D0524;MXP;HKG;77X;Thu;03:15;14:35;;77350;645;MXP/HKG/2024-09-12 03:15:00
QY135;MXP;LEJ;ABY;Thu;12:25;14:05;;46000;386;MXP/LEJ/2024-09-12 12:25:00
