Flight Number,Orig,Dest,A/C,Weekday_Z,DD_Z,Net Payload,Net Volume,Weekday_num,deptime,arrtime,key,key+
K4617,HKG,ANC,74Y,Wed,,87050,725,2,2024-09-11 01:00:00,2024-09-11 10:50:00,HKG/ANC/2024-09-11 01:00:00,HKG/ANC/2024-09-11 01:00:00/K4617
K4627,HKG,ANC,74Y,Wed,,87050,725,2,2024-09-11 06:00:00,2024-09-11 15:50:00,HKG/ANC/2024-09-11 06:00:00,HKG/ANC/2024-09-11 06:00:00/K4627
K4615,HKG,ANC,74Y,Wed,1.0,87050,725,2,2024-09-11 23:00:00,2024-09-12 08:50:00,HKG/ANC/2024-09-11 23:00:00,HKG/ANC/2024-09-11 23:00:00/K4615
K4675,HKG,ANC,74Y,Wed,1.0,87050,725,2,2024-09-11 23:00:00,2024-09-12 08:50:00,HKG/ANC/2024-09-11 23:00:00,HKG/ANC/2024-09-11 23:00:00/K4675
ES724,HKG,BAH,76V,Wed,1.0,47650,442,2,2024-09-11 21:50:00,2024-09-12 07:40:00,HKG/BAH/2024-09-11 21:50:00,HKG/BAH/2024-09-11 21:50:00/ES724
ES778,HKG,BAH,76V,Wed,1.0,47650,442,2,2024-09-11 21:35:00,2024-09-12 07:25:00,HKG/BAH/2024-09-11 21:35:00,HKG/BAH/2024-09-11 21:35:00/ES778
ES732,HKG,BLR,76V,Wed,1.0,47650,442,2,2024-09-11 20:25:00,2024-09-12 02:35:00,HKG/BLR/2024-09-11 20:25:00,HKG/BLR/2024-09-11 20:25:00/ES732
ES696,HKG,BAH,76V,Wed,1.0,47650,442,2,2024-09-11 20:05:00,2024-09-12 05:55:00,HKG/BAH/2024-09-11 20:05:00,HKG/BAH/2024-09-11 20:05:00/ES696
3S590,HKG,CVG,77X,Wed,1.0,77350,645,2,2024-09-11 13:45:00,2024-09-12 04:35:00,HKG/CVG/2024-09-11 13:45:00,HKG/CVG/2024-09-11 13:45:00/3S590
D01,HKG,NGO,77X,Wed,,77350,645,2,2024-09-11 10:05:00,2024-09-11 13:45:00,HKG/NGO/2024-09-11 10:05:00,HKG/NGO/2024-09-11 10:05:00/D01
D0525,HKG,CVG,77X,Wed,1.0,77350,645,2,2024-09-11 20:00:00,2024-09-12 10:50:00,HKG/CVG/2024-09-11 20:00:00,HKG/CVG/2024-09-11 20:00:00/D0525
K422,HKG,SYD,77X,Wed,1.0,77350,645,2,2024-09-11 20:25:00,2024-09-12 05:30:00,HKG/SYD/2024-09-11 20:25:00,HKG/SYD/2024-09-11 20:25:00/K422
3S519,HKG,LEJ,77X,Wed,,77350,645,2,2024-09-11 09:00:00,2024-09-11 21:45:00,HKG/LEJ/2024-09-11 09:00:00,HKG/LEJ/2024-09-11 09:00:00/3S519
3S593,HKG,DEL,77X,Wed,1.0,77350,645,2,2024-09-11 22:20:00,2024-09-12 04:35:00,HKG/DEL/2024-09-11 22:20:00,HKG/DEL/2024-09-11 22:20:00/3S593
K4285,HKG,LAX,77X,Wed,1.0,77350,645,2,2024-09-11 20:00:00,2024-09-12 09:05:00,HKG/LAX/2024-09-11 20:00:00,HKG/LAX/2024-09-11 20:00:00/K4285
QY549,HKG,ALA,33X,Thu,1.0,51200,427,3,2024-09-12 22:00:00,2024-09-13 04:45:00,HKG/ALA/2024-09-12 22:00:00,HKG/ALA/2024-09-12 22:00:00/QY549
QY515,HKG,DXB,33X,Thu,1.0,51200,427,3,2024-09-12 21:35:00,2024-09-13 06:15:00,HKG/DXB/2024-09-12 21:35:00,HKG/DXB/2024-09-12 21:35:00/QY515
PO916,HKG,ICN,74N,Thu,,102300,853,3,2024-09-12 06:25:00,2024-09-12 09:55:00,HKG/ICN/2024-09-12 06:25:00,HKG/ICN/2024-09-12 06:25:00/PO916
K4613,HKG,ANC,74Y,Thu,,87050,725,3,2024-09-12 01:00:00,2024-09-12 10:50:00,HKG/ANC/2024-09-12 01:00:00,HKG/ANC/2024-09-12 01:00:00/K4613
K4625,HKG,ANC,74Y,Thu,,87050,725,3,2024-09-12 06:00:00,2024-09-12 15:50:00,HKG/ANC/2024-09-12 06:00:00,HKG/ANC/2024-09-12 06:00:00/K4625
K4677,HKG,ANC,74Y,Thu,1.0,87050,725,3,2024-09-12 23:00:00,2024-09-13 08:50:00,HKG/ANC/2024-09-12 23:00:00,HKG/ANC/2024-09-12 23:00:00/K4677
ES728,HKG,BAH,76V,Thu,1.0,47650,442,3,2024-09-12 21:50:00,2024-09-13 07:40:00,HKG/BAH/2024-09-12 21:50:00,HKG/BAH/2024-09-12 21:50:00/ES728
ES770,HKG,BAH,76V,Thu,1.0,47650,442,3,2024-09-12 21:35:00,2024-09-13 07:25:00,HKG/BAH/2024-09-12 21:35:00,HKG/BAH/2024-09-12 21:35:00/ES770
ES736,HKG,BLR,76V,Thu,1.0,47650,442,3,2024-09-12 20:25:00,2024-09-13 02:35:00,HKG/BLR/2024-09-12 20:25:00,HKG/BLR/2024-09-12 20:25:00/ES736
ES694,HKG,BAH,76V,Thu,1.0,47650,442,3,2024-09-12 20:05:00,2024-09-13 05:55:00,HKG/BAH/2024-09-12 20:05:00,HKG/BAH/2024-09-12 20:05:00/ES694
3S580,HKG,CVG,77X,Thu,,77350,645,3,2024-09-12 03:00:00,2024-09-12 17:50:00,HKG/CVG/2024-09-12 03:00:00,HKG/CVG/2024-09-12 03:00:00/3S580
3S590,HKG,CVG,77X,Thu,1.0,77350,645,3,2024-09-12 13:45:00,2024-09-13 04:35:00,HKG/CVG/2024-09-12 13:45:00,HKG/CVG/2024-09-12 13:45:00/3S590
D03,HKG,NGO,77X,Thu,,77350,645,3,2024-09-12 10:05:00,2024-09-12 13:45:00,HKG/NGO/2024-09-12 10:05:00,HKG/NGO/2024-09-12 10:05:00/D03
D0523,HKG,CVG,77X,Thu,1.0,77350,645,3,2024-09-12 20:00:00,2024-09-13 10:50:00,HKG/CVG/2024-09-12 20:00:00,HKG/CVG/2024-09-12 20:00:00/D0523
K4225,HKG,ANC,77X,Thu,1.0,77350,645,3,2024-09-12 22:25:00,2024-09-13 08:15:00,HKG/ANC/2024-09-12 22:25:00,HKG/ANC/2024-09-12 22:25:00/K4225
